State,District,Latitude,Longitude,District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ratio,literacy_rate
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,267679,6726,96.07,75.35
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,398937,3456,94.85,60.27
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,223424,2231,93.51,62.36
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,117040,1653,95.01,67.24
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,747352,21785,92.69,71.63
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,438606,5262,95.19,65.01
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,1252452,55694,78.75,75.17
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,302068,2975,93.01,62.27
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,29794,137,100.57,61.75
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,798277,53606,93.41,69.45
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,329218,11020,92.25,68.63
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,199681,12899,88.47,72.5
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,266244,5292,88.59,65.46
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,333171,43437,87.32,70.33
Haryana,Fatehabad,29.572983185840716,75.54608716814157,78,942011,153301,3210,90.17,59.19
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,305751,67087,85.44,73.37
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,285004,10132,87.21,63.9
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,168558,5034,86.22,70.54
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,222462,5263,87.12,62.42
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,187349,3724,88.14,60.18
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,267223,11163,88.71,64.97
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,171908,7356,88.79,67.06
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,135455,2624,89.47,68.35
Haryana,Panchkula,30.700897142857137,76.97173238095236,69,561293,103455,18615,87.3,72.21
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,209965,10024,86.35,65.25
